seed,score,num_steps
7380,4107,1000
7381,2147,444
7382,2707,1000
7383,4177,1000
7384,4737,1000
7385,1167,1000
7386,3897,1000
7387,3407,1000
7388,2847,1000
7389,2287,1000
7390,3477,1000
7391,2847,1000
7392,2007,1000
7393,5647,1000
7394,4527,1000
7395,5997,1000
7396,1937,1000
7397,5507,1000
7398,5087,1000
7399,5017,1000
seed,score,num_steps
7400,4737,1000
7401,2217,1000
7402,3407,1000
7403,3057,1000
7404,6067,1000
7405,3967,1000
7406,3337,1000
7407,3407,1000
7408,2077,1000
7409,2567,496
7410,3547,1000
7411,3267,1000
7412,5857,1000
7413,2357,1000
7414,2357,1000
7415,4387,1000
7416,1657,381
7417,4947,1000
7418,467,231
7419,4667,1000
7420,4597,1000
7421,2847,1000
7422,2077,1000
7423,4737,1000
7424,2987,1000
7425,3547,1000
7426,4737,1000
7427,5367,1000
7428,1587,1000
7429,3197,1000
7430,3967,1000
7431,2287,1000
7432,2357,1000
7433,3407,1000
7434,4037,1000
7435,1027,270
7436,1587,1000
7437,3337,1000
7438,3337,1000
7439,4317,1000
7440,3687,1000
7441,5087,1000
7442,5507,1000
7443,3757,1000
7444,4527,1000
7445,4807,1000
7446,3057,490
7447,2917,1000
7448,2777,1000
7449,5367,1000
7450,3547,1000
7451,957,342
7452,3687,1000
7453,2987,1000
7454,2427,430
7455,4387,1000
7456,1237,383
7457,5857,1000
7458,3407,1000
7459,4107,1000
7460,2847,1000
7461,2007,1000
7462,2707,1000
7463,4037,1000
7464,2987,1000
7465,2917,1000
7466,4807,1000
7467,4667,1000
7468,2777,1000
7469,7537,1000
7470,3407,1000
7471,1937,1000
7472,5997,1000
7473,4947,1000
7474,5367,1000
7475,4247,1000
7476,2637,1000
7477,3057,1000
7478,2777,1000
7479,4317,1000
7480,3477,1000
7481,1797,1000
7482,3897,1000
7483,4737,1000
7484,3617,1000
7485,3967,1000
7486,3617,1000
7487,2847,1000
7488,5087,1000
7489,5647,1000
7490,1657,1000
7491,3477,1000
7492,2287,1000
7493,3757,1000
7494,4527,1000
7495,2147,1000
7496,4107,1000
7497,6557,1000
7498,4107,1000
7499,5227,1000
7500,4737,1000
7501,3337,1000
7502,1937,1000
7503,3127,1000
7504,2007,1000
7505,3547,1000
7506,3267,1000
7507,5017,1000
7508,2077,1000
7509,5157,1000
7510,3337,1000
7511,3757,1000
7512,2637,1000
7513,3897,1000
7514,817,362
7515,2917,1000
7516,3477,1000
7517,3757,1000
7518,2847,1000
7519,4247,1000
7520,3337,1000
7521,4527,1000
7522,2637,1000
7523,5647,1000
7524,2987,1000
seed,score,num_steps
7525,4387,1000
7526,3967,1000
7527,2427,307
7528,2637,1000
7529,3267,1000
7530,817,326
7531,1727,1000
7532,1097,294
7533,2567,1000
7534,4177,1000
7535,4667,1000
7536,4667,1000
7537,817,362
7538,3687,1000
7539,4737,1000
7540,3827,1000
7541,3197,1000
7542,6207,1000
7543,4247,1000
7544,3267,1000
7545,4317,1000
7546,4877,1000
7547,5157,1000
7548,3967,1000
7549,2847,1000
7550,3477,1000
7551,3407,491
7552,3127,1000
7553,2917,1000
7554,3687,1000
7555,2497,1000
7556,2637,1000
7557,1447,422
7558,4737,1000
7559,1867,407
7560,5647,1000
7561,5717,1000
7562,2287,1000
7563,4107,1000
7564,3897,1000
7565,2847,1000
7566,2497,1000
7567,5857,1000
7568,2147,1000
7569,2847,1000
7570,3267,1000
7571,1867,1000
7572,5227,1000
7573,2847,1000
7574,3617,1000
7575,1657,410
7576,6697,1000
7577,2357,1000
7578,3197,1000
7579,5647,1000
7580,5647,1000
7581,3127,1000
7582,1587,1000
7583,3197,1000
7584,4177,1000
7585,4667,1000
7586,2147,1000
7587,5857,1000
7588,4527,1000
7589,3477,1000
7590,4597,1000
7591,4177,1000
7592,2917,1000
7593,4597,1000
7594,4037,1000
7595,3617,1000
7596,5507,1000
7597,4107,1000
7598,4737,1000
7599,3407,1000
7600,1587,462
7601,3687,1000
7602,5157,1000
7603,3827,1000
7604,3407,1000
7605,3267,1000
7606,3967,1000
7607,5577,1000
7608,3897,1000
7609,4177,1000
7610,5507,1000
7611,4247,1000
7612,4527,1000
7613,3197,1000
7614,2497,466
7615,4877,1000
7616,5437,1000
7617,5507,1000
7618,5087,1000
7619,1027,393
7620,1237,369
7621,3827,1000
7622,3617,1000
7623,3337,1000
7624,3617,1000
7625,3337,1000
7626,2917,1000
7627,4737,1000
7628,3967,1000
7629,4317,1000
7630,3127,1000
7631,4597,1000
7632,2917,1000
7633,2007,303
7634,1937,1000
7635,3617,1000
7636,3337,1000
7637,2637,1000
7638,3127,1000
7639,2497,1000
7640,4457,1000
7641,5437,1000
7642,2917,1000
7643,3687,1000
7644,5437,1000
7645,3967,1000
7646,2847,1000
7647,2707,1000
7648,3897,1000
7649,2497,1000
seed,score,num_steps
7650,3267,1000
7651,2567,414
7652,1867,428
7653,4877,1000
7654,3057,1000
7655,3127,1000
7656,3477,1000
7657,2777,1000
7658,2077,1000
7659,4807,1000
7660,1587,317
7661,3197,1000
7662,3267,1000
7663,3057,1000
7664,2847,1000
7665,3547,1000
7666,2007,1000
7667,1867,432
7668,3057,1000
7669,4667,1000
7670,3197,1000
7671,3547,1000
7672,2987,1000
7673,3127,513
7674,677,1000
7675,3967,1000
7676,2077,1000
7677,5787,1000
7678,6837,1000
7679,3477,1000
7680,2567,1000
7681,4317,1000
7682,3197,1000
7683,887,254
7684,5507,1000
7685,5437,1000
7686,1797,1000
7687,2987,1000
7688,2707,1000
7689,2847,1000
7690,2847,1000
7691,3617,1000
7692,4877,1000
7693,2497,303
7694,1377,1000
7695,1797,1000
7696,3757,1000
7697,2427,1000
7698,6137,1000
7699,2707,1000
7700,3687,1000
7701,4457,1000
7702,3197,498
7703,2987,1000
7704,4247,1000
7705,2777,1000
7706,3897,1000
7707,2567,1000
7708,3407,1000
7709,2917,1000
7710,4387,1000
7711,4317,1000
7712,1867,393
7713,2217,463
7714,5927,1000
7715,2637,1000
7716,2497,378
7717,2847,1000
7718,6137,1000
7719,1237,1000
7720,2917,1000
7721,2917,1000
7722,3757,1000
7723,4177,1000
7724,3197,1000
7725,1447,1000
7726,1797,1000
7727,5087,1000
7728,5437,1000
7729,2707,1000
7730,3267,515
7731,5157,1000
7732,2917,1000
7733,3547,1000
7734,5297,1000
7735,4877,1000
7736,3757,1000
7737,3477,1000
7738,5577,1000
7739,4737,1000
7740,3127,1000
7741,5157,1000
7742,2357,1000
7743,4457,1000
7744,1377,1000
7745,3057,409
7746,1447,315
7747,2777,1000
7748,2707,1000
7749,4457,1000
7750,3897,1000
7751,3057,1000
7752,1237,317
7753,5017,1000
7754,3337,1000
7755,3967,1000
7756,1447,1000
7757,3687,1000
7758,2287,1000
7759,3547,1000
7760,5227,1000
7761,1447,364
7762,5297,1000
7763,3827,1000
7764,5017,1000
7765,2427,1000
7766,5227,1000
7767,2007,1000
7768,4457,1000
7769,2847,1000
7770,6137,1000
7771,5087,1000
7772,3477,1000
7773,4527,1000
7774,3827,1000
seed,score,num_steps
7775,4387,1000
7776,2007,1000
7777,3617,1000
7778,3337,472
7779,2707,1000
7780,4107,1000
7781,4107,1000
7782,5017,1000
7783,3127,1000
7784,2497,1000
7785,5787,1000
7786,5437,1000
7787,2987,1000
7788,4317,1000
7789,2917,1000
7790,4387,1000
7791,3127,1000
7792,2987,456
7793,3197,1000
7794,5297,1000
7795,3407,1000
7796,3967,1000
7797,2777,1000
7798,2987,1000
7799,2637,1000
7800,2917,1000
7801,3267,1000
7802,2357,1000
7803,5577,1000
7804,2987,1000
7805,2777,1000
7806,2147,449
7807,4667,1000
7808,4527,1000
7809,677,307
7810,1937,324
7811,5857,1000
7812,4387,1000
7813,2077,1000
7814,1937,490
7815,2987,1000
7816,3687,1000
7817,2147,468
7818,3057,1000
7819,3127,1000
7820,1097,1000
7821,3407,1000
7822,5017,1000
7823,1447,422
7824,1867,1000
7825,2637,1000
7826,2427,1000
7827,1867,1000
7828,3827,1000
7829,2497,417
7830,3337,1000
7831,2847,1000
7832,4037,1000
7833,4037,1000
7834,1517,336
7835,2847,1000
7836,2567,460
7837,3897,407
7838,2077,1000
7839,2777,1000
7840,2357,1000
7841,3547,1000
7842,6137,1000
7843,1587,453
7844,3197,1000
7845,4387,1000
7846,2217,1000
7847,1167,282
7848,3477,1000
7849,4527,1000
7850,5507,1000
7851,1797,1000
7852,2077,1000
7853,2917,1000
7854,4597,1000
7855,3197,1000
7856,537,171
7857,4247,1000
7858,2287,421
7859,4457,1000
7860,2497,1000
7861,1307,1000
7862,3337,1000
7863,3127,1000
7864,4807,1000
7865,6137,1000
7866,2847,1000
7867,1517,1000
7868,1097,455
7869,4107,1000
7870,3617,1000
7871,4457,1000
7872,1937,1000
7873,4527,1000
7874,4597,1000
7875,3547,1000
7876,2427,1000
7877,6207,1000
7878,5787,1000
7879,2567,1000
7880,3407,1000
7881,4877,1000
7882,4317,1000
7883,3687,1000
7884,5507,1000
7885,1097,332
7886,3267,1000
7887,5017,1000
7888,3127,1000
7889,2497,1000
7890,3547,1000
7891,4807,1000
7892,2707,1000
7893,2777,1000
7894,4387,1000
7895,2987,1000
7896,4107,1000
7897,3967,1000
7898,3687,1000
7899,957,454
seed,score,num_steps
7900,4037,1000
7901,1377,334
7902,2497,445
7903,4107,1000
7904,1797,360
7905,2497,1000
7906,3967,1000
7907,3057,1000
7908,2217,1000
7909,4247,1000
7910,4177,1000
7911,1937,445
7912,3967,1000
7913,1797,1000
7914,4317,1000
7915,4037,1000
7916,957,388
7917,5087,1000
7918,3687,1000
7919,4877,1000
7920,2147,1000
7921,5297,1000
7922,4877,1000
7923,5297,1000
7924,4317,1000
7925,5087,1000
7926,3057,1000
7927,3897,1000
7928,3687,1000
7929,2567,1000
7930,4387,1000
7931,4527,1000
7932,1587,1000
7933,4387,1000
7934,3057,1000
7935,1727,428
7936,4527,1000
7937,4877,1000
7938,3617,1000
7939,3617,1000
7940,2217,1000
7941,2637,417
7942,4877,1000
7943,4317,1000
7944,2077,1000
7945,2917,1000
7946,2427,1000
7947,3687,1000
7948,4317,1000
7949,3687,1000
7950,3967,1000
7951,3827,1000
7952,3897,1000
7953,2287,1000
7954,3897,1000
7955,4247,1000
7956,6627,1000
7957,4737,1000
7958,3617,1000
7959,4387,1000
7960,1517,456
7961,5297,1000
7962,2077,420
7963,2497,439
7964,2567,1000
7965,2497,1000
7966,4247,1000
7967,5927,1000
7968,4457,1000
7969,2497,1000
7970,3407,1000
7971,2777,1000
7972,3127,1000
7973,5927,1000
7974,2987,1000
7975,5087,1000
7976,3687,1000
7977,3197,1000
7978,3197,1000
7979,2077,1000
7980,5227,1000
7981,2287,471
7982,4807,1000
7983,4177,1000
7984,2357,1000
7985,4527,1000
7986,3687,1000
7987,4667,1000
7988,4877,1000
7989,2217,1000
7990,5437,1000
7991,3057,1000
7992,1027,1000
